City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wairoa,-39.0333,177.3667,291.23,99,100,3.13,NZ,1674088629
1,georgetown,5.4112,100.3354,298.12,87,20,2.06,MY,1674088507
2,butaritari,3.0707,172.7902,300.3,78,89,7.09,KI,1674088631
3,cabo san lucas,22.8909,-109.9124,295.32,64,20,4.63,MX,1674088631
4,bredasdorp,-34.5322,20.0403,293.15,84,6,2.61,ZA,1674088632
5,airai,-8.9266,125.4092,293.29,77,100,1.41,TL,1674088378
6,hobart,-42.8794,147.3294,289.41,47,40,6.69,AU,1674088635
7,cherskiy,68.75,161.3,230.64,99,100,1.83,RU,1674088636
8,high prairie,55.4334,-116.4858,262.6,95,92,1.1,CA,1674088637
9,port alfred,-33.5906,26.891,296.58,85,100,1.79,ZA,1674088638
10,north bend,43.4065,-124.2243,280.41,96,100,4.12,US,1674088639
11,busselton,-33.65,115.3333,295.78,45,0,5.47,AU,1674088346
12,campbellton,48.0075,-66.6727,273.4,95,100,3.63,CA,1674088484
13,coihaique,-45.5752,-72.0662,298.49,40,0,0.0,CL,1674088641
14,esperance,-33.8667,121.9,292.83,50,100,5.5,AU,1674088642
15,bluff,-46.6,168.3333,291.56,65,54,3.1,NZ,1674088643
16,norman wells,65.282,-126.8329,253.17,84,100,1.54,CA,1674088644
17,sao filipe,14.8961,-24.4956,297.19,66,2,5.73,CV,1674088645
18,rikitea,-23.1203,-134.9692,298.7,69,100,0.73,PF,1674088646
19,ponta do sol,32.6667,-17.1,289.66,67,54,4.11,PT,1674088647
20,albany,42.6001,-73.9662,277.97,80,100,1.34,US,1674088392
21,senaki,42.2704,42.0675,279.2,58,16,3.88,GE,1674088648
22,tuktoyaktuk,69.4541,-133.0374,260.15,85,100,1.54,CA,1674088649
23,kapaa,22.0752,-159.319,300.33,78,20,4.63,US,1674088650
24,kalmunai,7.4167,81.8167,296.37,68,10,3.69,LK,1674088651
25,mataura,-46.1927,168.8643,299.62,34,6,1.58,NZ,1674088652
26,cape town,-33.9258,18.4232,293.2,82,20,1.03,ZA,1674088428
27,bac lieu,9.285,105.7244,297.54,76,100,2.06,VN,1674088654
28,nikolskoye,59.7035,30.7861,274.15,98,100,4.16,RU,1674088655
29,bonfim,3.0833,-59.95,300.27,58,95,2.91,BR,1674088656
30,ushuaia,-54.8,-68.3,287.96,58,20,10.8,AR,1674088657
31,chuy,-33.6971,-53.4616,294.47,78,100,4.55,UY,1674088481
